exp,Amounts,Probability,Delay,Indifference
GMO_99_E2,200,1,1,152.6923077
GMO_99_E2,200,1,6,90
GMO_99_E2,200,1,12,70
GMO_99_E2,200,1,36,48.84615385
GMO_99_E2,200,1,60,30
GMO_99_E2,5000,1,1,4567.307692
GMO_99_E2,5000,1,6,3692.307692
GMO_99_E2,5000,1,12,2807.692308
GMO_99_E2,5000,1,36,1500
GMO_99_E2,5000,1,60,1000
GMO_99_E2,5000,0.95,0,3821.256039
GMO_99_E2,5000,0.9,0,3550.724638
GMO_99_E2,5000,0.7,0,2236.714976
GMO_99_E2,5000,0.4,0,739.1304348
GMO_99_E2,5000,0.1,0,236.7149758
GMO_99_E2,5000,0.05,0,120.7729469
GMO_99_E2,200,0.95,0,157.6923077
GMO_99_E2,200,0.9,0,147.6923077
GMO_99_E2,200,0.7,0,107.6923077
GMO_99_E2,200,0.4,0,50
GMO_99_E2,200,0.1,0,25
GMO_99_E2,200,0.05,0,17.69230769
