Exp,Amounts,Probability,Delay,Indifference,n
GW99,25,0.01,0,4,10
GW99,25,0.05,0,4,10
GW99,25,0.1,0,8,10
GW99,25,0.25,0,9,10
GW99,25,0.4,0,10,10
GW99,25,0.5,0,9.5,10
GW99,25,0.6,0,12,10
GW99,25,0.75,0,11.5,10
GW99,25,0.9,0,14.5,10
GW99,25,0.95,0,13,10
GW99,25,0.99,0,19,10
GW99,50,0.01,0,6,10
GW99,50,0.05,0,7,10
GW99,50,0.1,0,8,10
GW99,50,0.25,0,12.5,10
GW99,50,0.4,0,10,10
GW99,50,0.5,0,14,10
GW99,50,0.6,0,12.5,10
GW99,50,0.75,0,19.5,10
GW99,50,0.9,0,22.5,10
GW99,50,0.95,0,27.5,10
GW99,50,0.99,0,40,10
GW99,75,0.01,0,5,10
GW99,75,0.05,0,10,10
GW99,75,0.1,0,8.5,10
GW99,75,0.25,0,14,10
GW99,75,0.4,0,17,10
GW99,75,0.5,0,16,10
GW99,75,0.6,0,18,10
GW99,75,0.75,0,23,10
GW99,75,0.9,0,36,10
GW99,75,0.95,0,31.5,10
GW99,75,0.99,0,48.5,10
GW99,100,0.01,0,10,10
GW99,100,0.05,0,10,10
GW99,100,0.1,0,15,10
GW99,100,0.25,0,21,10
GW99,100,0.4,0,19,10
GW99,100,0.5,0,23,10
GW99,100,0.6,0,35,10
GW99,100,0.75,0,31,10
GW99,100,0.9,0,63,10
GW99,100,0.95,0,58,10
GW99,100,0.99,0,84.5,10
GW99,150,0.01,0,10,10
GW99,150,0.05,0,10,10
GW99,150,0.1,0,18,10
GW99,150,0.25,0,25,10
GW99,150,0.4,0,34,10
GW99,150,0.5,0,25,10
GW99,150,0.6,0,49,10
GW99,150,0.75,0,70,10
GW99,150,0.9,0,41.5,10
GW99,150,0.95,0,106,10
GW99,150,0.99,0,118,10
GW99,200,0.01,0,6,10
GW99,200,0.05,0,9,10
GW99,200,0.1,0,21,10
GW99,200,0.25,0,26.5,10
GW99,200,0.4,0,34.5,10
GW99,200,0.5,0,34,10
GW99,200,0.6,0,56,10
GW99,200,0.75,0,48,10
GW99,200,0.9,0,80,10
GW99,200,0.95,0,102,10
GW99,200,0.99,0,158,10
GW99,400,0.01,0,18,10
GW99,400,0.05,0,24,10
GW99,400,0.1,0,24,10
GW99,400,0.25,0,54,10
GW99,400,0.4,0,64,10
GW99,400,0.5,0,58,10
GW99,400,0.6,0,58,10
GW99,400,0.75,0,115,10
GW99,400,0.9,0,208.5,10
GW99,400,0.95,0,249,10
GW99,400,0.99,0,277,10
GW99,800,0.01,0,9.5,10
GW99,800,0.05,0,42,10
GW99,800,0.1,0,36,10
GW99,800,0.25,0,90,10
GW99,800,0.4,0,91,10
GW99,800,0.5,0,89.5,10
GW99,800,0.6,0,207,10
GW99,800,0.75,0,197.5,10
GW99,800,0.9,0,404,10
GW99,800,0.95,0,448.5,10
GW99,800,0.99,0,519,10
