Exp,Amounts,Probability,Delay,Indifferences,N
VGM_15_E1,800,1,60,552.0215633,50
VGM_15_E1,800,0.8,60,357.9514825,50
VGM_15_E1,800,0.4,60,153.0997305,50
VGM_15_E1,800,0.25,60,122.9110512,50
VGM_15_E1,800,0.1,60,73.31536388,50
VGM_15_E1,800,1,24,618.8679245,50
VGM_15_E1,800,0.8,24,426.9541779,50
VGM_15_E1,800,0.4,24,178.9757412,50
VGM_15_E1,800,0.25,24,140.1617251,50
VGM_15_E1,800,0.1,24,79.78436658,50
VGM_15_E1,800,1,6,722.3719677,50
VGM_15_E1,800,0.8,6,480.8625337,50
VGM_15_E1,800,0.4,6,198.3827493,50
VGM_15_E1,800,0.25,6,161.7250674,50
VGM_15_E1,800,0.1,6,79.78436658,50
VGM_15_E1,800,1,1,763.3423181,50
VGM_15_E1,800,0.8,1,513.2075472,50
VGM_15_E1,800,0.4,1,215.6334232,50
VGM_15_E1,800,0.25,1,142.3180593,50
VGM_15_E1,800,0.1,1,103.5040431,50
VGM_15_E1,800,0.8,0,545.5525606,50
VGM_15_E1,800,0.4,0,213.4770889,50
VGM_15_E1,800,0.25,0,153.0997305,50
VGM_15_E1,800,0.1,0,79.78436658,50
VGM_15_E2A,800,1,60,331.8454567,50
VGM_15_E2A,800,0.8,60,293.9667544,50
VGM_15_E2A,800,0.4,60,162.4806482,50
VGM_15_E2A,800,0.25,60,124.6019459,50
VGM_15_E2A,800,0.1,60,71.11522945,50
VGM_15_E2A,800,1,24,462.4320568,50
VGM_15_E2A,800,0.8,24,362.1529387,50
VGM_15_E2A,800,0.4,24,168.2799769,50
VGM_15_E2A,800,0.25,24,125.9353847,50
VGM_15_E2A,800,0.1,24,72.46222865,50
VGM_15_E2A,800,1,6,623.5476252,50
VGM_15_E2A,800,0.8,6,434.1315132,50
VGM_15_E2A,800,0.4,6,220.2027279,50
VGM_15_E2A,800,0.25,6,135.5225837,50
VGM_15_E2A,800,0.1,6,84.26881222,50
VGM_15_E2A,800,1,1,717.3267942,50
VGM_15_E2A,800,0.8,1,494.4843095,50
VGM_15_E2A,800,0.4,1,282.783949,50
VGM_15_E2A,800,0.25,1,184.7332557,50
VGM_15_E2A,800,0.1,1,93.367837,50
VGM_15_E2A,800,0.8,0,556.9163663,50
VGM_15_E2A,800,0.4,0,285.0485349,50
VGM_15_E2A,800,0.25,0,191.4546913,50
VGM_15_E2A,800,0.1,0,115.6882465,50
VGM_15_E2B,800,1,60,484.5714286,50
VGM_15_E2B,800,0.8,60,304,50
VGM_15_E2B,800,0.4,60,178.2857143,50
VGM_15_E2B,800,0.25,60,125.7142857,50
VGM_15_E2B,800,0.1,60,91.42857143,50
VGM_15_E2B,800,1,24,530.2857143,50
VGM_15_E2B,800,0.8,24,388.5714286,50
VGM_15_E2B,800,0.4,24,196.5714286,50
VGM_15_E2B,800,0.25,24,164.5714286,50
VGM_15_E2B,800,0.1,24,82.28571429,50
VGM_15_E2B,800,1,6,694.8571429,50
VGM_15_E2B,800,0.8,6,438.8571429,50
VGM_15_E2B,800,0.4,6,237.7142857,50
VGM_15_E2B,800,0.25,6,185.1428571,50
VGM_15_E2B,800,0.1,6,118.8571429,50
VGM_15_E2B,800,1,1,722.2857143,50
VGM_15_E2B,800,0.8,1,530.2857143,50
VGM_15_E2B,800,0.4,1,260.5714286,50
VGM_15_E2B,800,0.25,1,201.1428571,50
VGM_15_E2B,800,0.1,1,123.4285714,50
VGM_15_E2B,800,0.8,0,557.7142857,50
VGM_15_E2B,800,0.4,0,274.2857143,50
VGM_15_E2B,800,0.25,0,194.2857143,50
VGM_15_E2B,800,0.1,0,109.7142857,50
