exp,Amounts,Delay,Probability,Indifference
Vand1,800,60,1,552.0215633
Vand1,800,60,0.8,357.9514825
Vand1,800,60,0.4,153.0997305
Vand1,800,60,0.25,122.9110512
Vand1,800,60,0.1,73.31536388
Vand1,800,24,1,618.8679245
Vand1,800,24,0.8,426.9541779
Vand1,800,24,0.4,178.9757412
Vand1,800,24,0.25,140.1617251
Vand1,800,24,0.1,79.78436658
Vand1,800,6,1,722.3719677
Vand1,800,6,0.8,480.8625337
Vand1,800,6,0.4,198.3827493
Vand1,800,6,0.25,161.7250674
Vand1,800,6,0.1,79.78436658
Vand1,800,1,1,763.34231810000006
Vand1,800,1,0.8,513.2075472
Vand1,800,1,0.4,215.6334232
Vand1,800,1,0.25,142.3180593
Vand1,800,1,0.1,103.5040431
Vand1,800,0,1,800
Vand1,800,0,0.8,545.5525606
Vand1,800,0,0.4,213.4770889
Vand1,800,0,0.25,153.0997305
Vand1,800,0,0.1,79.78436658
Vand2A,800,60,1,331.8454567
Vand2A,800,60,0.8,293.9667544
Vand2A,800,60,0.4,162.4806482
Vand2A,800,60,0.25,124.6019459
Vand2A,800,60,0.1,71.11522945
Vand2A,800,24,1,462.4320568
Vand2A,800,24,0.8,362.1529387
Vand2A,800,24,0.4,168.2799769
Vand2A,800,24,0.25,125.9353847
Vand2A,800,24,0.1,72.46222865
Vand2A,800,6,1,623.5476252
Vand2A,800,6,0.8,434.1315132
Vand2A,800,6,0.4,220.2027279
Vand2A,800,6,0.25,135.5225837
Vand2A,800,6,0.1,84.26881222
Vand2A,800,1,1,717.3267942
Vand2A,800,1,0.8,494.4843095
Vand2A,800,1,0.4,282.783949
Vand2A,800,1,0.25,184.7332557
Vand2A,800,1,0.1,93.367837
Vand2A,800,0,1,799.8146746
Vand2A,800,0,0.8,556.9163663
Vand2A,800,0,0.4,285.0485349
Vand2A,800,0,0.25,191.4546913
Vand2A,800,0,0.1,115.6882465
Vand2B,800,60,1,484.5714286
Vand2B,800,60,0.8,304
Vand2B,800,60,0.4,178.2857143
Vand2B,800,60,0.25,125.7142857
Vand2B,800,60,0.1,91.42857143
Vand2B,800,24,1,530.2857143
Vand2B,800,24,0.8,388.5714286
Vand2B,800,24,0.4,196.5714286
Vand2B,800,24,0.25,164.5714286
Vand2B,800,24,0.1,82.28571429
Vand2B,800,6,1,694.8571429
Vand2B,800,6,0.8,438.8571429
Vand2B,800,6,0.4,237.7142857
Vand2B,800,6,0.25,185.1428571
Vand2B,800,6,0.1,118.8571429
Vand2B,800,1,1,722.2857143
Vand2B,800,1,0.8,530.2857143
Vand2B,800,1,0.4,260.5714286
Vand2B,800,1,0.25,201.1428571
Vand2B,800,1,0.1,123.4285714
Vand2B,800,0,1,800
Vand2B,800,0,0.8,557.7142857
Vand2B,800,0,0.4,274.2857143
Vand2B,800,0,0.25,194.2857143
Vand2B,800,0,0.1,109.7142857
Yi 10,10,1,1,8.24889868
Yi 10,10,6,1,6.97136564
Yi 10,10,12,1,5.18722467
Yi 10,10,60,1,4.7246696
Yi 10,10,0,0.75,9.34782609
Yi 10,10,0,0.6,7.369565219999999
Yi 10,10,0,0.4,6.3260869600000005
Yi 10,10,0,0.25,4.13043478
Yi 10,10,0,0.05,2.36956522
Yi 1000,1000,1,1,957.0484580000001
Yi 1000,1000,6,1,899.7797360000001
Yi 1000,1000,12,1,809.471366
Yi 1000,1000,60,1,633.259912
Yi 1000,1000,0,0.6,704.347826
Yi 1000,1000,0,0.4,584.782609
Yi 1000,1000,0,0.25,308.695652
Yi 1000,1000,0,0.05,163.043478
GW,25,0,0.01,4
GW,25,0,0.05,4
GW,25,0,0.1,8
GW,25,0,0.25,9
GW,25,0,0.4,10
GW,25,0,0.5,9.5
GW,25,0,0.6,12
GW,25,0,0.75,11.5
GW,25,0,0.9,14.5
GW,25,0,0.95,13
GW,25,0,0.99,19
GW,50,0,0.01,6
GW,50,0,0.05,7
GW,50,0,0.1,8
GW,50,0,0.25,12.5
GW,50,0,0.4,10
GW,50,0,0.5,14
GW,50,0,0.6,12.5
GW,50,0,0.75,19.5
GW,50,0,0.9,22.5
GW,50,0,0.95,27.5
GW,50,0,0.99,40
GW,75,0,0.01,5
GW,75,0,0.05,10
GW,75,0,0.1,8.5
GW,75,0,0.25,14
GW,75,0,0.4,17
GW,75,0,0.5,16
GW,75,0,0.6,18
GW,75,0,0.75,23
GW,75,0,0.9,36
GW,75,0,0.95,31.5
GW,75,0,0.99,48.5
GW,100,0,0.01,10
GW,100,0,0.05,10
GW,100,0,0.1,15
GW,100,0,0.25,21
GW,100,0,0.4,19
GW,100,0,0.5,23
GW,100,0,0.6,35
GW,100,0,0.75,31
GW,100,0,0.9,63
GW,100,0,0.95,58
GW,100,0,0.99,84.5
GW,150,0,0.01,10
GW,150,0,0.05,10
GW,150,0,0.1,18
GW,150,0,0.25,25
GW,150,0,0.4,34
GW,150,0,0.5,25
GW,150,0,0.6,49
GW,150,0,0.75,70
GW,150,0,0.9,41.5
GW,150,0,0.95,106
GW,150,0,0.99,118
GW,200,0,0.01,6
GW,200,0,0.05,9
GW,200,0,0.1,21
GW,200,0,0.25,26.5
GW,200,0,0.4,34.5
GW,200,0,0.5,34
GW,200,0,0.6,56
GW,200,0,0.75,48
GW,200,0,0.9,80
GW,200,0,0.95,102
GW,200,0,0.99,158
GW,400,0,0.01,18
GW,400,0,0.05,24
GW,400,0,0.1,24
GW,400,0,0.25,54
GW,400,0,0.4,64
GW,400,0,0.5,58
GW,400,0,0.6,58
GW,400,0,0.75,115
GW,400,0,0.9,208.5
GW,400,0,0.95,249
GW,400,0,0.99,277
GW,800,0,0.01,9.5
GW,800,0,0.05,42
GW,800,0,0.1,36
GW,800,0,0.25,90
GW,800,0,0.4,91
GW,800,0,0.5,89.5
GW,800,0,0.6,207
GW,800,0,0.75,197.5
GW,800,0,0.9,404
GW,800,0,0.95,448.5
GW,800,0,0.99,519
