X1,p1,t1,x1,p2,t2,x2,trial,choice,manipulation,num
7,0.5,0,300,0.4,0,475,RvA.7.Base,RvA,Base,7
8,0.5,0,100,0.2,0,425,RvA.8.Base,RvA,Base,8
65,1,2,325,1,9,475,DvA.1.Base,DvA,Base,1
66,1,1,75,1,30,300,DvA.2.Base,DvA,Base,2
67,1,1,100,1,5,200,DvA.3.Base,DvA,Base,3
68,1,3,125,1,21,325,DvA.4.Base,DvA,Base,4
69,1,6,125,1,30,325,DvA.5.Base,DvA,Base,5
70,1,30,350,1,42,425,DvA.6.Base,DvA,Base,6
71,1,3,100,1,12,225,DvA.7.Base,DvA,Base,7
72,1,4,175,1,15,350,DvA.8.Base,DvA,Base,8
98,1,13,75,1,42,300,DvA.2.Imm,DvA,Imm,2
101,1,18,125,1,42,325,DvA.5.Imm,DvA,Imm,5
102,1,42,350,1,54,425,DvA.6.Imm,DvA,Imm,6
103,1,15,100,1,24,225,DvA.7.Imm,DvA,Imm,7
129,0.8,0,400,1,8,400,DvR.1.Base,DvR,Base,1
133,0.1,0,75,1,42,75,DvR.5.Base,DvR,Base,5
144,0.4,9,300,0.5,15,300,DvR.16.Base,DvR,Base,16
165,0.1,12,75,1,54,75,DvR.5.Imm,DvR,Imm,5
176,0.4,21,300,0.5,27,300,DvR.16.Imm,DvR,Imm,16
