Paradigm,Exp,x1,p1,t1,x2,p2,t2,N,y
Choice,WC05_T3,100,0.5,0,110,0.5,1,446,312
Choice,WC05_T3,100,0.5,6.5,110,0.5,7.5,446,227
Choice,WC05_T4,2700,0.66,12,3000,0.33,12,445,178
Indiff,VGM_15_E1,357.9514825,1,0,800,0.8,60,50,25
Indiff,VGM_15_E1,153.0997305,1,0,800,0.4,60,50,25
Indiff,VGM_15_E1,122.9110512,1,0,800,0.25,60,50,25
Indiff,VGM_15_E1,73.31536388,1,0,800,0.1,60,50,25
Indiff,VGM_15_E1,426.9541779,1,0,800,0.8,24,50,25
Indiff,VGM_15_E1,178.9757412,1,0,800,0.4,24,50,25
Indiff,VGM_15_E1,140.1617251,1,0,800,0.25,24,50,25
Indiff,VGM_15_E1,79.78436658,1,0,800,0.1,24,50,25
Indiff,VGM_15_E1,480.8625337,1,0,800,0.8,6,50,25
Indiff,VGM_15_E1,198.3827493,1,0,800,0.4,6,50,25
Indiff,VGM_15_E1,161.7250674,1,0,800,0.25,6,50,25
Indiff,VGM_15_E1,79.78436658,1,0,800,0.1,6,50,25
Indiff,VGM_15_E1,513.2075472,1,0,800,0.8,1,50,25
Indiff,VGM_15_E1,215.6334232,1,0,800,0.4,1,50,25
Indiff,VGM_15_E1,142.3180593,1,0,800,0.25,1,50,25
Indiff,VGM_15_E1,103.5040431,1,0,800,0.1,1,50,25
Indiff,VGM_15_E2A,293.9667544,1,0,800,0.8,60,50,25
Indiff,VGM_15_E2A,162.4806482,1,0,800,0.4,60,50,25
Indiff,VGM_15_E2A,124.6019459,1,0,800,0.25,60,50,25
Indiff,VGM_15_E2A,71.11522945,1,0,800,0.1,60,50,25
Indiff,VGM_15_E2A,362.1529387,1,0,800,0.8,24,50,25
Indiff,VGM_15_E2A,168.2799769,1,0,800,0.4,24,50,25
Indiff,VGM_15_E2A,125.9353847,1,0,800,0.25,24,50,25
Indiff,VGM_15_E2A,72.46222865,1,0,800,0.1,24,50,25
Indiff,VGM_15_E2A,434.1315132,1,0,800,0.8,6,50,25
Indiff,VGM_15_E2A,220.2027279,1,0,800,0.4,6,50,25
Indiff,VGM_15_E2A,135.5225837,1,0,800,0.25,6,50,25
Indiff,VGM_15_E2A,84.26881222,1,0,800,0.1,6,50,25
Indiff,VGM_15_E2A,494.4843095,1,0,800,0.8,1,50,25
Indiff,VGM_15_E2A,282.783949,1,0,800,0.4,1,50,25
Indiff,VGM_15_E2A,184.7332557,1,0,800,0.25,1,50,25
Indiff,VGM_15_E2A,93.367837,1,0,800,0.1,1,50,25
Indiff,VGM_15_E2B,304,1,0,800,0.8,60,50,25
Indiff,VGM_15_E2B,178.2857143,1,0,800,0.4,60,50,25
Indiff,VGM_15_E2B,125.7142857,1,0,800,0.25,60,50,25
Indiff,VGM_15_E2B,91.42857143,1,0,800,0.1,60,50,25
Indiff,VGM_15_E2B,388.5714286,1,0,800,0.8,24,50,25
Indiff,VGM_15_E2B,196.5714286,1,0,800,0.4,24,50,25
Indiff,VGM_15_E2B,164.5714286,1,0,800,0.25,24,50,25
Indiff,VGM_15_E2B,82.28571429,1,0,800,0.1,24,50,25
Indiff,VGM_15_E2B,438.8571429,1,0,800,0.8,6,50,25
Indiff,VGM_15_E2B,237.7142857,1,0,800,0.4,6,50,25
Indiff,VGM_15_E2B,185.1428571,1,0,800,0.25,6,50,25
Indiff,VGM_15_E2B,118.8571429,1,0,800,0.1,6,50,25
Indiff,VGM_15_E2B,530.2857143,1,0,800,0.8,1,50,25
Indiff,VGM_15_E2B,260.5714286,1,0,800,0.4,1,50,25
Indiff,VGM_15_E2B,201.1428571,1,0,800,0.25,1,50,25
Indiff,VGM_15_E2B,123.4285714,1,0,800,0.1,1,50,25
Indiff,WC_05_T9,23.34,1,0,100,0.5,6.5,208,104
Indiff,WC_05_T9,23.75,1,0,110,0.5,7.5,208,104
